angle/°	t/ms	timer1/ms	timer2/ms	Date	DateOA	Counter1	Counter2	Counter3	Counter4	dt/ms	dtimer1/ms	dtimer2/ms	dCounter1	dCounter2	dCounter3	dCounter4	Ticks1	Ticks2	Ticks3	Ticks4	dTicks1	dTicks2	dTicks3	dTicks4
270	719996.08505	0	719985	2026-03-10_04:19:07	46091.1799421296	1193077	1622675	3876	4749	1	20	20	1092.28064159354	1273.84261194231	62.2575296650935	68.9129886160802	1657.08591151205	2253.76223115759	5.38344548844768	6.59597074939061	1.51778622467798	1.77037002430929	0.0864707219830528	0.0957146536135395
270	719995.92365	0	719985	2026-03-10_04:31:11	46091.1883217593	1192533	1622171	3894	4791	1	20	20	1092.03159294958	1273.64476994176	62.4019230472908	69.2170499226888	1656.33034021542	2253.06221657396	5.40844600929186	6.65430529802704	1.51743983919295	1.77009472228081	0.0866712734271687	0.0961369721137061
255	719995.8977	0	719985	2026-03-10_04:43:24	46091.1968055556	1196074	1617535	4063	4944	1	20	20	1093.65168129528	1271.8234940431	63.7416661219332	70.3135833249878	1661.2484982326	2246.62319353875	5.64317312166226	6.86680972520261	1.51969311810846	1.76756037941901	0.0885320750322068	0.0976599754815696
240	719995.8139	0	719985	2026-03-10_04:55:36	46091.2052777778	1202074	1617462	4006	4872	1	20	20	1096.39135348652	1271.7947947684	63.2929695937866	69.7997134664606	1669.58200518066	2246.52180253755	5.56400480565567	6.76680764182587	1.52350357672185	1.76752044389665	0.0879088695162182	0.0969462484210276
225	719995.96925	0	719985	2026-03-10_05:07:48	46091.21375	1211340	1616260	4106	5048	1	20	20	1100.60892236979	1271.32214642867	64.0780773744032	71.0492786733264	1682.45171774412	2244.85232331229	5.70289658812336	7.01125717896901	1.52936961185411	1.76686274628405	0.0889993248261438	0.0986818017731209
210	719995.97125	0	719985	2026-03-10_05:20:00	46091.2222222222	1215913	1611001	4378	5295	1	20	20	1102.68445169051	1269.25214201119	66.1664567586931	72.7667506489056	1688.80323895637	2237.54800447232	6.08068223643548	7.3543198816642	1.53225639938054	1.76398231326003	0.0918999264168836	0.101067243490653
195	719995.8511	0	719985	2026-03-10_05:32:12	46091.2306944444	1227077	1617768	4385	5361	1	20	20	1107.73507663159	1271.91509150572	66.2193325245732	73.2188500319419	1704.30911755106	2246.9468113919	6.09040466120822	7.44598845809288	1.53928121631413	1.7676878388479	0.0919733668830509	0.101695176254636
180	719996.26455	0	719985	2026-03-10_05:44:25	46091.2391782407	1232856	1613170	4599	5620	1	20	20	1110.34048831879	1270.10629476434	67.8159273327439	74.9666592559653	1712.33567365987	2240.56056723404	6.38763307568908	7.80571817468419	1.54290506870622	1.76517087372476	0.0941909173994285	0.104122755065748
165	719995.8185	0	719985	2026-03-10_05:56:37	46091.247650463	1238962	1617005	4579	5587	1	20	20	1113.08669922877	1271.61511472615	67.6683086828687	74.7462373634954	1720.81640589735	2245.88706709168	6.35985471919554	7.75988388646986	1.54672478415544	1.76727041617901	0.0939858861363336	0.10381660518474
150	719996.7782	0	719986	2026-03-10_06:08:49	46091.2561226852	1248266	1618093	4314	5360	1	20	20	1117.25825125617	1272.04284519037	65.6810474946921	73.2120208708925	1733.73648932063	2247.39508823783	5.99178317356171	7.44458920034556	1.55252490533041	1.76786315185402	0.0912256027411998	0.101685549818819
135	719996.6461	0	719986	2026-03-10_06:21:01	46091.2645949074	1252269	1739083	4406	5217	1	20	20	1119.04825633214	1318.74296206653	66.3777071011044	72.2288031189774	1739.29631965066	2415.44002244488	6.1195634359557	7.24597422727664	1.55501466818085	1.83285161176375	0.0921932092252559	0.100319934695495
120	719996.3669	0	719985	2026-03-10_06:33:13	46091.2730671296	1254686	1751054	4405	5188	1	20	20	1120.12767129466	1323.27397012108	66.3701740241805	72.0277724214764	1742.65574977256	2432.07011257179	6.11818301770176	7.20570567442377	1.55651822299206	1.83916006280502	0.0921828743963169	0.100040857231801
105	719996.23825	0	719985	2026-03-10_06:45:26	46091.2815509259	1250810	1784534	4252	4988	1	20	20	1118.39617309789	1335.86451408816	65.2073615476044	70.6257743320383	1737.27230428412	2478.57108134197	5.90567859052619	6.92792210948839	1.55410982856996	1.85668305426811	0.0905678153297955	0.0980935856282979
90	719995.626	0	719985	2026-03-10_06:57:38	46091.2900231481	1242679	1775991	4129	4890	1	20	20	1114.7551300622	1332.66312322357	64.2572953056694	69.9285349481884	1725.97901345167	2466.70555636576	5.73484169809093	6.79180816267006	1.54904542426422	1.85222742839869	0.089248244991682	0.0971251718840282
